stop_id,stop_code,stop_name,stop_desc,stop_lat,stop_lon,zone_id,stop_url,location_type,parent_station
8391,519,Aurélio Silva Maia,,41.2549434260613,-8.60853905658996,,,,
8392,523,Junta Freguesia de Barca,,41.2466943810229,-8.61139109988986,,,,
8393,524,Padre Abilio Sampaio,,41.2475190986619,-8.61663206635194,,,,
8394,525,Hipermercado,,41.247462905611,-8.61794920439228,,,,
8395,385,Aquilino Ribeiro,,41.2455452521168,-8.6187073777403,,,,
8396,530,Padre Abilio Sampaio,,41.24751705656,-8.61662594016593,,,,
8397,531,Junta Freguesia de Barca,,41.2468502738892,-8.61171259283164,,,,
8398,532,EB 1 Gestalinho,,41.2463945648434,-8.60999994041742,,,,
8399,537,Secundária Castelo da Maia,,41.2577531018776,-8.61068882985077,,,,
8400,539,Estação Castelo da Maia,,41.2613666704427,-8.61614762076138,,,,
8401,540,Quinta Amarela,,41.2632888403342,-8.61534244824639,,,,
8402,500,Mercado (Castêlo),,41.2680619821503,-8.61148325875198,,,,
8403,501,Augusto Nogueira da Silva,,41.2725645006264,-8.60923509431086,,,,
8404,502,Santo António,,41.2765923534201,-8.60712670941447,,,,
8405,503,Senhora da Agonia,,41.275063793132,-8.60275565313745,,,,
8406,504,Mário Clemente,,41.2725645299566,-8.60005688169823,,,,
8407,545,Largo S  José ,,41.2708113021648,-8.60020918372275,,,,
8408,546,Central Cidadelha,,41.2702448304085,-8.59572301441849,,,,
8409,547,Pisco,,41.2718766758641,-8.59275530651881,,,,
8410,548,Monte,,41.272873271147,-8.59005997220875,,,,
8411,549,Tv. da Fonte,,41.2728657805699,-8.58702422907655,,,,
8412,550,Cidadelha,,41.2713110567877,-8.58366397572195,,,,
8413,551,Portela,,41.2700988161503,-8.58114060574178,,,,
8414,552,Jorge Sena,,41.2691423371184,-8.57773558535176,,,,
8415,553,Água Levada,,41.2699746887366,-8.57532234734961,,,,
8416,507,Ciccopn,,41.2796248573631,-8.6064282495288,,,,
8417,508,Agra Morta,,41.2828802791257,-8.60546231004587,,,,
8418,689,Agra Club,,41.2840854130754,-8.61031663606555,,,,
8419,690,Patriomónio,,41.2829650999383,-8.613388251851,,,,
8420,691,Paiço,,41.2798895203695,-8.61429558006111,,,,
8421,702,Igreja S. Pedro Avioso,,41.2765863954836,-8.6174214728094,,,,
8422,703,Ferronho,,41.2776792769099,-8.61345486094442,,,,
8423,704,Paiço,,41.2799587213773,-8.61423132107047,,,,
8424,705,Património,,41.2829748193315,-8.61333965373574,,,,
8425,706,Agra Club,,41.2840844627584,-8.61032138782156,,,,
8426,511,Agra Morta,,41.2828304310968,-8.60546379848425,,,,
8428,512,Ciccopn,,41.2795840444699,-8.60644551705953,,,,
8429,382,Campo Futebol,,41.2587981899796,-8.61613492293561,,,,
8430,383,Velha Mandim,,41.2499066870407,-8.61800513041106,,,,
8431,384,Hipermercado,,41.2478684125458,-8.6192265432689,,,,
8432,846,Ribeiro,,41.2686431945212,-8.62999440270825,,,,
8433,847,Nova da Bajouca,,41.2697112378029,-8.63057706283297,,,,
8434,848,Rua E,,41.2695816762753,-8.63254295460766,,,,
8435,849,Caminho de Baixo,,41.2721066695568,-8.63327991507016,,,,
8436,850,Bairro Bajouca,,41.2748750877564,-8.63368861852095,,,,
8437,851,E. B. 1 Bajouca,,41.2746382143415,-8.63665767851372,,,,
8438,852,Cimo Vila,,41.2708052862705,-8.63771894889486,,,,
8439,853,Australias,,41.2676252350273,-8.63655830376134,,,,
8440,854,Sá,,41.2655495647851,-8.63496766609809,,,,
8441,855,Eucalipto Grosso,,41.2650685740179,-8.63679759113524,,,,
8442,856,Monte Abraes,,41.2650619300533,-8.63987668941673,,,,
8443,857,Junta Freguesia Gemunde,,41.2658900218369,-8.64167001179622,,,,
8444,858,Gemunde Farm,,41.2667505880658,-8.64275492054411,,,,
8445,859,Igreja Gemunde,,41.2678856482979,-8.64524805861279,,,,
8446,860,Souto,,41.2688564038258,-8.64647873372702,,,,
8447,861,Barranha,,41.2673879909824,-8.65179854716756,,,,
8448,862,Tv Outeiro,,41.2642698035563,-8.64798459479294,,,,
8449,863,Castanhal,,41.2598435825783,-8.64629757863795,,,,
8450,864,Outeiro,,41.2574479378732,-8.64458194363552,,,,
8451,442,Campos Verdes,,41.256631079384,-8.646763408427,,,,
8452,893,Frederico Ulrich,,41.2556240237661,-8.65037880309972,,,,
8453,443,Mestre Clara,,41.2550084200691,-8.65260077578464,,,,
8454,444,Guardeiras,,41.2539234951491,-8.65569622374194,,,,
8455,445,Cruz das Guardeiras,,41.2521618370716,-8.65810303797141,,,,
8456,255,LIdador,,41.2500325953911,-8.65929352427409,,,,
8457,256,Estação Pedras Rubras,,41.2479647721521,-8.66234068452358,,,,
8458,257,Dr. A. Carlos Maia,,41.2455625953375,-8.66473375984091,,,,
8459,258,Feira Pedras Rubras,,41.2423457662675,-8.66604355908975,,,,
8460,265,Feira Pedras Rubras,,41.2424523188343,-8.6660299927649,,,,
8461,266,Dr. A. Carlos Maia,,41.2454840679277,-8.66475517991307,,,,
8462,268,Estação Pedras Rubras,,41.2476746297773,-8.66296762405448,,,,
8463,455,Fernando Pessoa,,41.2497869805327,-8.65962825226142,,,,
8464,457,Cruz das Guardeiras,,41.2521960714922,-8.6580715058518,,,,
8465,458,Guardeiras,,41.2545331891818,-8.6540331984019,,,,
8466,459,Mestre Clara,,41.2550356195378,-8.65251631276332,,,,
8467,892,Frederico Ulrich,,41.2556302336003,-8.65035722162035,,,,
8468,460,Campos Verdes,,41.2566907697618,-8.64654025078889,,,,
8469,865,Outeiro,,41.2574293724687,-8.64456626643215,,,,
8470,866,Castanhal,,41.2598005111839,-8.64625450793347,,,,
8471,867,Tv Outeiro,,41.2641168829619,-8.6479137571868,,,,
8472,868,Barranha,,41.2673502624325,-8.65176224273556,,,,
8473,869,Souto,,41.2687941205839,-8.64652686251086,,,,
8474,870,Igreja Gemunde,,41.2678943697387,-8.6452563834859,,,,
8475,891,Gemunde Farm,,41.2667660410769,-8.64277673622111,,,,
8476,871,Junta Freguesia Gemunde,,41.2658625498703,-8.64159523800739,,,,
8477,872,Monte Abraes,,41.2650733917029,-8.63990085122432,,,,
8478,873,Eucalipto Grosso,,41.2650776436704,-8.63675949725334,,,,
8479,874,Sá,,41.2654070285603,-8.63509323673239,,,,
8480,874,Sá,,41.266804496523,-8.63621621559315,,,,
8482,876,Cimo Vila,,41.2707845479235,-8.63769821079607,,,,
8483,877,E.B. 1 Bajouca,,41.2746606091547,-8.63661185523827,,,,
