id;code;name;description;location;zone_id;station_id
2271;359A;Largo Miranda, T-30;Largo Miranda, T-30;POINT(-16.8901780326456 32.6665784019178);0;
1768;243;ENT R Caridade Pestana;ENT R Caridade Pestana;POINT(-16.8769365811535 32.6547801733053);0;
2329;709G;CAM Tres Paus, S3A;CAM Tres Paus, S3A;POINT(-16.9547928134285 32.6698630735896);0;
2148;649;Antes Tecnopolo, S;Antes Tecnopolo, S;POINT(-16.924198139867 32.6597105171311);0;
565;65B;CAM do ENG Velho, Prebel;CAM do ENG Velho, Prebel;POINT(-16.9387833393046 32.645005091295);0;
1454;453;Quinta do Baltasar, S1A;Quinta do Baltasar, S1A;POINT(-16.9010810852051 32.6649932861328);0;
1368;442;R Nova Pedro J Ornelas, D;R Nova Pedro J Ornelas, D;POINT(-16.9044736772337 32.6576873611992);0;
1416;313;Rua Lazareto, S1A;Rua Lazareto, S1A;POINT(-16.8893708910668 32.6473094789679);0;
1854;140;Igreja São Jose, D;Igreja São Jose, D;POINT(-16.9209383586562 32.6577594872033);0;
1628;105;PAV dos Trabalhadores, S;PAV dos Trabalhadores, S;POINT(-16.9420962757922 32.6581588842818);0;
1608;1060;Beco da Lindinha, D1A;Beco da Lindinha, D1A;POINT(-16.8890078283143 32.6593008845918);0;
1655;107A;Estação Rádio Madeira, S;Estação Rádio Madeira, S;POINT(-16.941729084997 32.6597922431365);0;
1614;108A;Frente Término-12, D;Frente Término-12, D;POINT(-16.937390007239 32.6716773632945);0;
2155;1107;Travessa do Pomar, T-7;Travessa do Pomar, T-7;POINT(-16.8822551640431 32.6592149968446);0;
2157;1112;Depois Lombo Quinta, C-37;Depois Lombo Quinta, C-37;POINT(-16.8737286151528 32.6599030956726);0;
2458;1290;Rua Cidade Santos, D2A;Rua Cidade Santos, D2A;POINT(-16.9154346839468 32.6660621294002);0;
1836;1274;Rua Cabrestante, D1A;Rua Cabrestante, D1A;POINT(-16.9464034499878 32.6377910717127);0;
1336;256;Rua Coronel Cunha, D;Rua Coronel Cunha, D;POINT(-16.8985110530338 32.6523979027758);0;
1984;304;Travessa do Pomar, S1A;Travessa do Pomar, S1A;POINT(-16.8872529369698 32.662358187392);0;
1957;183A;Casa Luz, Rua Profetas;Casa Luz, Rua Profetas;POINT(-16.9046258815811 32.6474890490638);0;
1954;227A;CAM ZN Industrial, S1A;CAM ZN Industrial, S1A;POINT(-16.8579753401191 32.6499930293764);0;
1946;494A;Autosil, Furado C 33, D;Autosil, Furado C 33, D;POINT(-16.9021408194065 32.660595362923);0;
2118;428A;Escola Piedade, D;Escola Piedade, D;POINT(-16.9125934730359 32.66644639946);0;
2209;1128;Choupana, T-94;Choupana, T-94;POINT(-16.8862917565297 32.6708768587663);0;
2201;1143;Rua 4 Pico Romeiras, S1A;Rua 4 Pico Romeiras, S1A;POINT(-16.947881836111 32.6642371744365);0;
2096;1190;Caminho da Quinta, D1A;Caminho da Quinta, D1A;POINT(-16.9262103944841 32.6624059574941);0;
969;673C;ESTR São João, Renault;ESTR São João, Renault;POINT(-16.9216003417969 32.6555404663086);0;
1269;950;CAM Curral Velho ,D4A;CAM Curral Velho ,D4A;POINT(-16.9430629949263 32.6782749203161);0;
504;962;Depois ESCL L Aguiares;Depois ESCL L Aguiares;POINT(-16.938858394965 32.6748712350609);0;
330;89C;Rua DR Barreto, S2A;Rua DR Barreto, S2A;POINT(-16.9359889768245 32.6541963881209);0;
1537;1213;Rua João Paulo II, S1A;Rua João Paulo II, S1A;POINT(-16.9286526994115 32.6415140929411);0;
2376;832;Lombada, S;Lombada, S;POINT(-16.9630434846966 32.6519799776022);0;
413;846;Aripan, Areeiro, D;Aripan, Areeiro, D;POINT(-16.9575634002686 32.6443824768066);0;
456;940;Saida R Caridade Pestana;Saida R Caridade Pestana;POINT(-16.8767759200339 32.6552790529737);0;
